timestamp,detector_id,approach_id,vehicle_count
2023-12-30 00:00:00,13,13,43
2023-12-30 00:15:00,13,13,52
2023-12-30 00:30:00,13,13,23
2023-12-30 00:45:00,13,13,31
2023-12-30 01:00:00,13,13,21
2023-12-30 01:15:00,13,13,21
2023-12-30 01:30:00,13,13,22
2023-12-30 01:45:00,13,13,17
2023-12-30 02:00:00,13,13,15
2023-12-30 02:15:00,13,13,14
2023-12-30 02:30:00,13,13,10
2023-12-30 02:45:00,13,13,10
2023-12-30 03:00:00,13,13,8
2023-12-30 03:15:00,13,13,8
2023-12-30 03:30:00,13,13,8
2023-12-30 03:45:00,13,13,7
2023-12-30 04:00:00,13,13,7
2023-12-30 04:15:00,13,13,4
2023-12-30 04:30:00,13,13,3
2023-12-30 04:45:00,13,13,7
2023-12-30 05:00:00,13,13,6
2023-12-30 05:15:00,13,13,5
2023-12-30 05:30:00,13,13,1
2023-12-30 05:45:00,13,13,3
2023-12-30 06:00:00,13,13,4
2023-12-30 06:15:00,13,13,3
2023-12-30 06:30:00,13,13,4
2023-12-30 06:45:00,13,13,15
2023-12-30 07:00:00,13,13,14
2023-12-30 07:15:00,13,13,18
2023-12-30 07:30:00,13,13,20
2023-12-30 07:45:00,13,13,19
2023-12-30 08:00:00,13,13,25
2023-12-30 08:15:00,13,13,18
2023-12-30 08:30:00,13,13,25
2023-12-30 08:45:00,13,13,29
2023-12-30 09:00:00,13,13,26
2023-12-30 09:15:00,13,13,32
2023-12-30 09:30:00,13,13,33
2023-12-30 09:45:00,13,13,34
2023-12-30 10:00:00,13,13,37
2023-12-30 10:15:00,13,13,29
2023-12-30 10:30:00,13,13,46
2023-12-30 10:45:00,13,13,45
2023-12-30 11:00:00,13,13,48
2023-12-30 11:15:00,13,13,47
2023-12-30 11:30:00,13,13,57
2023-12-30 11:45:00,13,13,63
2023-12-30 12:00:00,13,13,70
2023-12-30 12:15:00,13,13,54
2023-12-30 12:30:00,13,13,52
2023-12-30 12:45:00,13,13,61
2023-12-30 13:00:00,13,13,49
2023-12-30 13:15:00,13,13,59
2023-12-30 13:30:00,13,13,67
2023-12-30 13:45:00,13,13,74
2023-12-30 14:00:00,13,13,87
2023-12-30 14:15:00,13,13,56
2023-12-30 14:30:00,13,13,72
2023-12-30 14:45:00,13,13,65
2023-12-30 15:00:00,13,13,86
2023-12-30 15:15:00,13,13,66
2023-12-30 15:30:00,13,13,84
2023-12-30 15:45:00,13,13,88
2023-12-30 16:00:00,13,13,85
2023-12-30 16:15:00,13,13,90
2023-12-30 16:30:00,13,13,75
2023-12-30 16:45:00,13,13,82
2023-12-30 17:00:00,13,13,84
2023-12-30 17:15:00,13,13,75
2023-12-30 17:30:00,13,13,85
2023-12-30 17:45:00,13,13,81
2023-12-30 18:00:00,13,13,89
2023-12-30 18:15:00,13,13,82
2023-12-30 18:30:00,13,13,84
2023-12-30 18:45:00,13,13,76
2023-12-30 19:00:00,13,13,79
2023-12-30 19:15:00,13,13,69
2023-12-30 19:30:00,13,13,68
2023-12-30 19:45:00,13,13,63
2023-12-30 20:00:00,13,13,80
2023-12-30 20:15:00,13,13,82
2023-12-30 20:30:00,13,13,71
2023-12-30 20:45:00,13,13,63
2023-12-30 21:00:00,13,13,68
2023-12-30 21:15:00,13,13,74
2023-12-30 21:30:00,13,13,63
2023-12-30 21:45:00,13,13,68
2023-12-30 22:00:00,13,13,52
2023-12-30 22:15:00,13,13,42
2023-12-30 22:30:00,13,13,49
2023-12-30 22:45:00,13,13,60
2023-12-30 23:00:00,13,13,61
2023-12-30 23:15:00,13,13,35
2023-12-30 23:30:00,13,13,45
2023-12-30 23:45:00,13,13,32
2023-12-31 00:00:00,13,13,36
2023-12-31 00:15:00,13,13,33
2023-12-31 00:30:00,13,13,27
2023-12-31 00:45:00,13,13,18
2023-12-31 01:00:00,13,13,19
2023-12-31 01:15:00,13,13,21
2023-12-31 01:30:00,13,13,16
2023-12-31 01:45:00,13,13,15
2023-12-31 02:00:00,13,13,13
2023-12-31 02:15:00,13,13,14
2023-12-31 02:30:00,13,13,13
2023-12-31 02:45:00,13,13,8
2023-12-31 03:00:00,13,13,5
2023-12-31 03:15:00,13,13,8
2023-12-31 03:30:00,13,13,6
2023-12-31 03:45:00,13,13,6
2023-12-31 04:00:00,13,13,3
2023-12-31 04:15:00,13,13,5
2023-12-31 04:30:00,13,13,6
2023-12-31 04:45:00,13,13,4
2023-12-31 05:00:00,13,13,4
2023-12-31 05:15:00,13,13,3
2023-12-31 05:30:00,13,13,3
2023-12-31 05:45:00,13,13,1
2023-12-31 06:00:00,13,13,7
2023-12-31 06:15:00,13,13,6
2023-12-31 06:30:00,13,13,15
2023-12-31 06:45:00,13,13,14
2023-12-31 07:00:00,13,13,29
2023-12-31 07:15:00,13,13,36
2023-12-31 07:30:00,13,13,39
2023-12-31 07:45:00,13,13,55
2023-12-31 08:00:00,13,13,37
2023-12-31 08:15:00,13,13,44
2023-12-31 08:30:00,13,13,40
2023-12-31 08:45:00,13,13,36
2023-12-31 09:00:00,13,13,42
2023-12-31 09:15:00,13,13,41
2023-12-31 09:30:00,13,13,55
2023-12-31 09:45:00,13,13,43
2023-12-31 10:00:00,13,13,52
2023-12-31 10:15:00,13,13,65
2023-12-31 10:30:00,13,13,71
2023-12-31 10:45:00,13,13,63
2023-12-31 11:00:00,13,13,80
2023-12-31 11:15:00,13,13,46
2023-12-31 11:30:00,13,13,61
2023-12-31 11:45:00,13,13,66
2023-12-31 12:00:00,13,13,57
2023-12-31 12:15:00,13,13,90
2023-12-31 12:30:00,13,13,79
2023-12-31 12:45:00,13,13,75
2023-12-31 13:00:00,13,13,76
2023-12-31 13:15:00,13,13,78
2023-12-31 13:30:00,13,13,93
2023-12-31 13:45:00,13,13,65
2023-12-31 14:00:00,13,13,83
2023-12-31 14:15:00,13,13,80
2023-12-31 14:30:00,13,13,92
2023-12-31 14:45:00,13,13,91
2023-12-31 15:00:00,13,13,92
2023-12-31 15:15:00,13,13,96
2023-12-31 15:30:00,13,13,87
2023-12-31 15:45:00,13,13,84
2023-12-31 16:00:00,13,13,78
2023-12-31 16:15:00,13,13,108
2023-12-31 16:30:00,13,13,79
2023-12-31 16:45:00,13,13,92
2023-12-31 17:00:00,13,13,91
2023-12-31 17:15:00,13,13,76
2023-12-31 17:30:00,13,13,79
2023-12-31 17:45:00,13,13,77
2023-12-31 18:00:00,13,13,94
2023-12-31 18:15:00,13,13,88
2023-12-31 18:30:00,13,13,81
2023-12-31 18:45:00,13,13,87
2023-12-31 19:00:00,13,13,83
2023-12-31 19:15:00,13,13,78
2023-12-31 19:30:00,13,13,70
2023-12-31 19:45:00,13,13,64
2023-12-31 20:00:00,13,13,69
2023-12-31 20:15:00,13,13,73
2023-12-31 20:30:00,13,13,76
2023-12-31 20:45:00,13,13,68
2023-12-31 21:00:00,13,13,72
2023-12-31 21:15:00,13,13,62
2023-12-31 21:30:00,13,13,62
2023-12-31 21:45:00,13,13,73
2023-12-31 22:00:00,13,13,57
2023-12-31 22:15:00,13,13,62
2023-12-31 22:30:00,13,13,60
2023-12-31 22:45:00,13,13,70
2023-12-31 23:00:00,13,13,54
2023-12-31 23:15:00,13,13,57
2023-12-31 23:30:00,13,13,45
2023-12-31 23:45:00,13,13,33
2024-01-01 00:00:00,13,13,35
2024-01-01 00:15:00,13,13,43
2024-01-01 00:30:00,13,13,49
2024-01-01 00:45:00,13,13,38
2024-01-01 01:00:00,13,13,47
2024-01-01 01:15:00,13,13,56
2024-01-01 01:30:00,13,13,35
2024-01-01 01:45:00,13,13,37
2024-01-01 02:00:00,13,13,22
2024-01-01 02:15:00,13,13,28
2024-01-01 02:30:00,13,13,17
2024-01-01 02:45:00,13,13,19
2024-01-01 03:00:00,13,13,17
2024-01-01 03:15:00,13,13,19
2024-01-01 03:30:00,13,13,14
2024-01-01 03:45:00,13,13,8
2024-01-01 04:00:00,13,13,8
2024-01-01 04:15:00,13,13,15
2024-01-01 04:30:00,13,13,8
2024-01-01 04:45:00,13,13,10
2024-01-01 05:00:00,13,13,5
2024-01-01 05:15:00,13,13,12
2024-01-01 05:30:00,13,13,4
2024-01-01 05:45:00,13,13,3
2024-01-01 06:00:00,13,13,6
