timestamp,detector_id,approach_id,vehicle_count
2023-12-30 00:00:00,12,12,53
2023-12-30 00:15:00,12,12,67
2023-12-30 00:30:00,12,12,47
2023-12-30 00:45:00,12,12,55
2023-12-30 01:00:00,12,12,30
2023-12-30 01:15:00,12,12,28
2023-12-30 01:30:00,12,12,36
2023-12-30 01:45:00,12,12,34
2023-12-30 02:00:00,12,12,29
2023-12-30 02:15:00,12,12,19
2023-12-30 02:30:00,12,12,20
2023-12-30 02:45:00,12,12,9
2023-12-30 03:00:00,12,12,14
2023-12-30 03:15:00,12,12,10
2023-12-30 03:30:00,12,12,7
2023-12-30 03:45:00,12,12,9
2023-12-30 04:00:00,12,12,11
2023-12-30 04:15:00,12,12,14
2023-12-30 04:30:00,12,12,12
2023-12-30 04:45:00,12,12,14
2023-12-30 05:00:00,12,12,8
2023-12-30 05:15:00,12,12,16
2023-12-30 05:30:00,12,12,7
2023-12-30 05:45:00,12,12,6
2023-12-30 06:00:00,12,12,14
2023-12-30 06:15:00,12,12,12
2023-12-30 06:30:00,12,12,9
2023-12-30 06:45:00,12,12,22
2023-12-30 07:00:00,12,12,22
2023-12-30 07:15:00,12,12,43
2023-12-30 07:30:00,12,12,29
2023-12-30 07:45:00,12,12,37
2023-12-30 08:00:00,12,12,42
2023-12-30 08:15:00,12,12,33
2023-12-30 08:30:00,12,12,39
2023-12-30 08:45:00,12,12,37
2023-12-30 09:00:00,12,12,37
2023-12-30 09:15:00,12,12,41
2023-12-30 09:30:00,12,12,14
2023-12-30 09:45:00,12,12,17
2023-12-30 10:00:00,12,12,3
2023-12-30 10:15:00,12,12,10
2023-12-30 10:30:00,12,12,67
2023-12-30 10:45:00,12,12,70
2023-12-30 11:00:00,12,12,60
2023-12-30 11:15:00,12,12,61
2023-12-30 11:30:00,12,12,68
2023-12-30 11:45:00,12,12,24
2023-12-30 12:00:00,12,12,87
2023-12-30 12:15:00,12,12,67
2023-12-30 12:30:00,12,12,74
2023-12-30 12:45:00,12,12,82
2023-12-30 13:00:00,12,12,57
2023-12-30 13:15:00,12,12,92
2023-12-30 13:30:00,12,12,83
2023-12-30 13:45:00,12,12,84
2023-12-30 14:00:00,12,12,107
2023-12-30 14:15:00,12,12,80
